category,years_on_force,number_since_same_type,number_since_total,number_same_type_after
Use Of Force,2,0,0,1
Use Of Force,2,0,2,2
Illegal Search,1,0,1,0
Illegal Search,1,0,1,0
Operation/Personnel Violations,2,1,9,0
Operation/Personnel Violations,2,1,6,0
Domestic,0,0,0,0
Use Of Force,2,0,0,6
Use Of Force,2,1,2,1
Use Of Force,2,0,9,3
Use Of Force,2,0,8,3
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,2,1,2,3
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,0,1,2
Illegal Search,1,0,0,2
Use Of Force,2,0,4,2
Operation/Personnel Violations,1,0,0,3
Operation/Personnel Violations,2,2,5,1
Domestic,1,0,1,0
Domestic,2,2,4,0
Operation/Personnel Violations,2,0,7,1
Illegal Search,2,0,4,0
Use Of Force,1,0,1,0
Use Of Force,1,0,2,0
Domestic,2,0,0,0
Use Of Force,2,0,2,0
Use Of Force,2,0,9,0
Operation/Personnel Violations,0,0,1,0
Operation/Personnel Violations,0,0,0,0
Traffic,2,1,12,1
Use Of Force,1,0,0,2
Use Of Force,1,0,2,1
Use Of Force,2,0,2,0
Operation/Personnel Violations,0,0,0,0
Illegal Search,1,0,2,6
Illegal Search,1,0,2,4
Verbal Abuse,2,0,5,0
Use Of Force,2,0,2,1
Use Of Force,2,0,1,0
False Arrest,0,0,1,0
Use Of Force,2,0,1,1
Supervisory Responsibilities,1,0,2,0
Use Of Force,1,0,2,0
Use Of Force,2,0,2,0
Supervisory Responsibilities,1,0,0,0
Operation/Personnel Violations,0,0,0,2
Supervisory Responsibilities,1,0,8,1
Supervisory Responsibilities,1,0,1,0
Supervisory Responsibilities,1,0,3,1
Use Of Force,1,0,2,0
Use Of Force,2,0,2,0
Traffic,0,0,0,1
Domestic,2,0,4,1
